Date,Primary Type,Count
2008-08-31,ASSAULT,2399
2008-09-30,ASSAULT,2259
2008-10-31,ASSAULT,2148
2008-11-30,ASSAULT,1734
2008-12-31,ASSAULT,1532
2009-01-31,ASSAULT,1685
2009-02-28,ASSAULT,1648
2009-03-31,ASSAULT,2062
2009-04-30,ASSAULT,2048
2009-05-31,ASSAULT,2222
2009-06-30,ASSAULT,2120
2009-07-31,ASSAULT,2097
2009-08-31,ASSAULT,2052
2009-09-30,ASSAULT,2014
2009-10-31,ASSAULT,1815
2009-11-30,ASSAULT,1644
2009-12-31,ASSAULT,1453
2010-01-31,ASSAULT,1486
2010-02-28,ASSAULT,1435
2010-03-31,ASSAULT,1900
2010-04-30,ASSAULT,1970
2010-05-31,ASSAULT,2087
2010-06-30,ASSAULT,2034
2010-07-31,ASSAULT,2054
2010-08-31,ASSAULT,2015
2010-09-30,ASSAULT,1878
2010-10-31,ASSAULT,1841
2010-11-30,ASSAULT,1566
2010-12-31,ASSAULT,1268
2011-01-31,ASSAULT,1388
2011-02-28,ASSAULT,1284
2011-03-31,ASSAULT,1666
2011-04-30,ASSAULT,1793
2011-05-31,ASSAULT,1951
2011-06-30,ASSAULT,1966
2011-07-31,ASSAULT,2029
2011-08-31,ASSAULT,1958
2011-09-30,ASSAULT,1800
2011-10-31,ASSAULT,1708
2011-11-30,ASSAULT,1455
2011-12-31,ASSAULT,1409
2012-01-31,ASSAULT,1294
2012-02-29,ASSAULT,1324
2012-03-31,ASSAULT,1856
2012-04-30,ASSAULT,1626
2012-05-31,ASSAULT,1927
2012-06-30,ASSAULT,1896
2012-07-31,ASSAULT,1929
2012-08-31,ASSAULT,1890
2012-09-30,ASSAULT,1635
2012-10-31,ASSAULT,1728
2012-11-30,ASSAULT,1404
2012-12-31,ASSAULT,1388
2013-01-31,ASSAULT,1396
2013-02-28,ASSAULT,1181
2013-03-31,ASSAULT,1415
2013-04-30,ASSAULT,1611
2013-05-31,ASSAULT,1843
2013-06-30,ASSAULT,1758
2013-07-31,ASSAULT,1634
2013-08-31,ASSAULT,1610
2013-09-30,ASSAULT,1611
2013-10-31,ASSAULT,1511
2013-11-30,ASSAULT,1254
2013-12-31,ASSAULT,1142
2014-01-31,ASSAULT,1036
2014-02-28,ASSAULT,1023
2014-03-31,ASSAULT,1388
2014-04-30,ASSAULT,1406
2014-05-31,ASSAULT,1669
2014-06-30,ASSAULT,1659
2014-07-31,ASSAULT,1629
2014-08-31,ASSAULT,1611
2014-09-30,ASSAULT,1570
2014-10-31,ASSAULT,1496
2014-11-30,ASSAULT,1154
2014-12-31,ASSAULT,502
2004-01-31,BATTERY,6095
2004-02-29,BATTERY,6276
2004-03-31,BATTERY,7556
2004-04-30,BATTERY,7334
2004-05-31,BATTERY,8430
2004-06-30,BATTERY,8326
2004-07-31,BATTERY,8074
2004-08-31,BATTERY,7635
2004-09-30,BATTERY,7789
2004-10-31,BATTERY,7544
2004-11-30,BATTERY,6188
2004-12-31,BATTERY,5886
2005-01-31,BATTERY,5920
2005-02-28,BATTERY,5700
2005-03-31,BATTERY,6622
2005-04-30,BATTERY,7578
2005-05-31,BATTERY,8215
2005-06-30,BATTERY,8140
2005-07-31,BATTERY,8046
2005-08-31,BATTERY,7623
2005-09-30,BATTERY,7520
2005-10-31,BATTERY,7161
2005-11-30,BATTERY,5965
2005-12-31,BATTERY,5473
2006-01-31,BATTERY,5962
2006-02-28,BATTERY,5397
2006-03-31,BATTERY,6877
2006-04-30,BATTERY,7035
2006-05-31,BATTERY,7756
2006-06-30,BATTERY,7390
2006-07-31,BATTERY,7947
2006-08-31,BATTERY,6884
2006-09-30,BATTERY,6739
2006-10-31,BATTERY,6769
2006-11-30,BATTERY,6090
2006-12-31,BATTERY,5817
2007-01-31,BATTERY,5584
2007-02-28,BATTERY,4870
2007-03-31,BATTERY,6883
2007-04-30,BATTERY,6606
2007-05-31,BATTERY,7872
2007-06-30,BATTERY,7763
2007-07-31,BATTERY,7723
2007-08-31,BATTERY,7015
2007-09-30,BATTERY,7265
2007-10-31,BATTERY,7009
2007-11-30,BATTERY,5592
2007-12-31,BATTERY,5407
2008-01-31,BATTERY,5490
2008-02-29,BATTERY,5242
2008-03-31,BATTERY,6209
2008-04-30,BATTERY,6726
2008-05-31,BATTERY,7442
2008-06-30,BATTERY,7502
2008-07-31,BATTERY,7335
2008-08-31,BATTERY,7150
2008-09-30,BATTERY,6570
2008-10-31,BATTERY,6133
2008-11-30,BATTERY,5436
2008-12-31,BATTERY,4678
2009-01-31,BATTERY,5036
2009-02-28,BATTERY,4961
2009-03-31,BATTERY,6211
2009-04-30,BATTERY,5862
2009-05-31,BATTERY,6825
2009-06-30,BATTERY,6551
2009-07-31,BATTERY,6244
2009-08-31,BATTERY,6182
2009-09-30,BATTERY,5789
2009-10-31,BATTERY,5237
2009-11-30,BATTERY,5067
2009-12-31,BATTERY,4493
2010-01-31,BATTERY,4661
2010-02-28,BATTERY,4251
2010-03-31,BATTERY,6028
2010-04-30,BATTERY,5867
2010-05-31,BATTERY,6407
2010-06-30,BATTERY,6332
2010-07-31,BATTERY,6308
2010-08-31,BATTERY,6056
2010-09-30,BATTERY,5362
2010-10-31,BATTERY,5415
2010-11-30,BATTERY,4649
2010-12-31,BATTERY,4057
2011-01-31,BATTERY,4433
2011-02-28,BATTERY,3767
2011-03-31,BATTERY,5175
2011-04-30,BATTERY,5089
2011-05-31,BATTERY,5796
2011-06-30,BATTERY,5886
2011-07-31,BATTERY,6230
2011-08-31,BATTERY,5433
2011-09-30,BATTERY,4774
2011-10-31,BATTERY,5070
2011-11-30,BATTERY,4361
2011-12-31,BATTERY,4438
2012-01-31,BATTERY,4306
2012-02-29,BATTERY,3961
2012-03-31,BATTERY,5275
2012-04-30,BATTERY,4695
2012-05-31,BATTERY,5840
2012-06-30,BATTERY,5806
2012-07-31,BATTERY,5971
2012-08-31,BATTERY,5374
2012-09-30,BATTERY,4759
2012-10-31,BATTERY,4731
2012-11-30,BATTERY,4260
2012-12-31,BATTERY,4148
2013-01-31,BATTERY,3926
2013-02-28,BATTERY,3495
2013-03-31,BATTERY,4371
2013-04-30,BATTERY,4637
2013-05-31,BATTERY,5214
2013-06-30,BATTERY,5460
2013-07-31,BATTERY,5266
2013-08-31,BATTERY,5043
2013-09-30,BATTERY,4723
2013-10-31,BATTERY,4450
2013-11-30,BATTERY,3768
2013-12-31,BATTERY,3637
2014-01-31,BATTERY,3329
2014-02-28,BATTERY,3173
2014-03-31,BATTERY,3973
2014-04-30,BATTERY,4184
2014-05-31,BATTERY,4801
2014-06-30,BATTERY,4816
2014-07-31,BATTERY,4773
2014-08-31,BATTERY,4740
2014-09-30,BATTERY,4235
2014-10-31,BATTERY,4061
2014-11-30,BATTERY,3647
2014-12-31,BATTERY,1397
2004-01-31,BURGLARY,1758
2004-02-29,BURGLARY,1584
2004-03-31,BURGLARY,1875
2004-04-30,BURGLARY,1887
2004-05-31,BURGLARY,2014
2004-06-30,BURGLARY,2131
2004-07-31,BURGLARY,2324
2004-08-31,BURGLARY,2276
